age,mortality
1,0.991899174
2,1.105465136
3,1.232033657
4,1.373093445
5,1.530303656
6,1.705513407
7,1.900783527
8,2.118410797
9,2.360954966
10,2.631268854
11,2.932531912
12,3.268287619
13,3.642485156
14,4.059525861
15,4.524314997
16,5.042319446
17,5.619632014
18,6.263043091
19,6.980120524
20,7.77929863
21,8.669977397
22,9.662633052
23,10.76894128
24,12.00191456
25,13.37605521
26,14.90752596
27,16.6143401
28,18.51657327
29,20.6365997
30,22.99935527
31,25.63263088
32,28.56739932
33,31.83817953
34,35.48344266
35,39.54606456
36,44.07383006
37,49.11999508
38,54.74391296
39,61.01173262
40,67.9971766
41,75.78240819
42,84.45899782
43,94.12900017
44,100
